,,,Birds (),Reptiles (),Amphibians (),Fishes (),"Subtotal
(Vertebrates) ()",Insects (INVERTEBRATES),Molluscs (INVERTEBRATES),Crustaceans (INVERTEBRATES),Corals (INVERTEBRATES),Arachnids (INVERTEBRATES),"Velvet
worms (INVERTEBRATES)","Horseshoe
crabs (INVERTEBRATES)","Other
invertebrates (INVERTEBRATES)","Subtotal
(Invertebrates) (INVERTEBRATES)",Mosses (PLANTS4),"Ferns &
allies (PLANTS4)",Gymnosperms (PLANTS4),"Flowering
plants (PLANTS4)","Green
algae (PLANTS4)","Red
algae (PLANTS4)","Subtotal
(Plants) (PLANTS4)",Lichens (FUNGI & PROTISTS),Mushrooms (FUNGI & PROTISTS),"Brown
algae (FUNGI & PROTISTS)","Subtotal
(Fungi & protists) (FUNGI & PROTISTS)",
"2024
(versi2on0 026024-2)",Total assessed,"4,864","9,934",664,"5,918","2,912","24,292","1,192","2,163",537,2,18,11,4,51,"3,978",93,212,908,"10,688",0,0,"11,901",2,1,0,3,"40,174"
,Total threatened,"1,093","1,206",341,"1,811","1,171","5,622",623,975,459,1,10,9,0,24,"2,101",80,139,306,"7,865",0,0,"8,390",2,1,0,3,"16,116"
2004,Total assessed,"4,853","9,917",499,"5,743","1,721","22,733",771,"2,163",498,2,18,11,4,20,"3,487",93,210,907,"10,614",0,0,"11,824",2,0,0,2,"38,046"
,Total threatened,"1,101","1,213",304,"1,770",800,"5,188",559,974,429,1,10,9,0,10,"1,992",80,140,305,"7,796",0,0,"8,321",2,0,0,2,"15,503"
2003,Total assessed,"4,789","2,139",473,401,"1,532","9,334",768,"2,098",461,2,18,11,4,20,"3,382",93,180,907,"8,526",0,0,"9,706",2,0,0,2,"22,424"
,Total threatened,"1,130","1,194",293,157,750,"3,524",553,967,409,1,10,9,0,10,"1,959",80,111,304,"6,279",0,0,"6,774",2,0,0,2,"12,259"
2002,Total assessed,"2,150","2,138",453,263,"1,265","6,269",747,"2,018",459,2,18,11,4,19,"3,278",83,0,251,"6,816",0,0,"7,150",0,0,0,0,"16,697"
,Total threatened,"1,137","1,192",293,157,742,"3,521",557,939,409,1,10,6,0,10,"1,932",80,0,142,"5,492",0,0,"5,714",0,0,0,0,"11,167"
2000,Total assessed,"2,133","2,123",454,231,"1,267","6,208",747,"2,017",459,2,18,11,4,19,"3,277",83,0,251,"6,688",0,0,"7,022",0,0,0,0,"16,507"
,Total threatened,"1,130","1,183",296,146,752,"3,507",555,938,408,1,10,6,0,10,"1,928",80,0,141,"5,390",0,0,"5,611",0,0,0,0,"11,046"
1996/19983,Total assessed,"2,067","2,167",428,198,"1,194","6,054",730,"1,958",458,2,18,11,4,19,"3,200",0,0,—5,—5,0,0,—5,0,0,0,0,—5
,Total threatened,"1,096","1,107",253,124,734,"3,314",537,920,407,1,10,6,0,10,"1,891",0,0,142,"5,186",0,0,"5,328",0,0,0,0,"10,533"
